,user_id,name,username,description,created_at,followers_count,following_count,following_list,following_agentid_list,previous_tweets,tweets_id,activity_level_frequency,activity_level,user_char
0,17072206,clydetheslyde,clydetheslyde,"Clydetheslyde is an active user with a playful yet straightforward approach, reflected in their bio: 'When you gotta new hammer, everything looks like a nail!' They maintain a clean timeline free of distractions, declaring 'No Monkey Business!' With a significant number of connections (12,141 friends and 11,052 followers), they engage frequently, as shown by their 15,401 statuses and 5,172 favorites. The account is not verified.",2008-10-30 19:24:15+0000,11052,12141,"['837892874', '134249298', '377540405', '96631851', '2355047857', '484497386', '318088667', '2409639811', '15394768', '283358345', '100005598', '2596618610', '244650352', '2464701794', '1001495072', '27345589', '903949472', '2279682174', '24716381', '2574376467', '47842352', '2481146024', '2384079631', '467026225', '2161673947', '178332153', '239510568', '250327929', '33623630', '1315396962', '815871284', '1096235196', '1560515610', '1672905572', '2491817137', '437609026', '425459816', '2331432673', '2421007736', '20111085', '847923606', '883316545', '956472636', '84714448', '19428305', '391658754', '1683553004', '7812462', '12004852', '2331209359', '242051914', '1676775385', '1015729890', '445090859', '108052332', '64147321', '902528816', '27391292', '20634939', '418421014', '345629726', '513774875', '464308569', '16179517', '274422511', '359662817', '28837388', '22095997', '326957691', '28674574', '167581897', '624018877', '149543566', '296072389', '2264980638', '308698101']",[],"['Currently the #FoxNews website has zero, repeat, ZERO coverage of the #Ferguson protests, probably due to lack of cowboy hats.']",[],"[1.4594594594594594, 1.2342342342342343, 1.4144144144144144, 1.2252252252252251, 1.3513513513513513, 1.3063063063063063, 0.4594594594594595, 0.36036036036036034, 0.35135135135135137, 0.36036036036036034, 0.3063063063063063, 0.5225225225225225, 1.0810810810810811, 1.4144144144144144, 1.5495495495495495, 2.135135135135135, 2.027027027027027, 2.0, 1.5585585585585586, 1.5675675675675675, 2.063063063063063, 1.2792792792792793, 1.2432432432432432, 1.3063063063063063]",[],"Clydetheslyde is an active user with a playful yet straightforward approach, reflected in their bio: 'When you gotta new hammer, everything looks like a nail!' They maintain a clean timeline free of distractions, declaring 'No Monkey Business!' With a significant number of connections (12,141 friends and 11,052 followers), they engage frequently, as shown by their 15,401 statuses and 5,172 favorites. The account is not verified."
1,274422511,graceslick77,graceslick77,"{""desc"": ""User graceslick77 is an engaged and active member of the online community, boasting a substantial friends count of 3,021 and 2,756 followers. With a background rooted in Episcopal traditions, they have been married to Al for 23 years and are proud parents to three children. Committed to social and political engagement, they have shown support for the Obama/Biden administration and actively encourage civic participation. Since coming out in 1996, they have shared their journey and thoughts on various societal issues, reflected in their 122,412 statuses and 90,129 favorites. Their enthusiasm for music, particularly",2011-03-30 08:14:29+0000,2756,3021,"['28837388', '297771685', '847923606', '391658754', '84714448', '20634939', '2331209359', '275978340', '19428305', '22095997', '17072206', '513774875', '624018877', '484497386']",[],[],[],"[1.4594594594594594, 1.2342342342342343, 1.4144144144144144, 1.2252252252252251, 1.3513513513513513, 1.3063063063063063, 0.4594594594594595, 0.36036036036036034, 0.35135135135135137, 0.36036036036036034, 0.3063063063063063, 0.5225225225225225, 1.0810810810810811, 1.4144144144144144, 1.5495495495495495, 2.135135135135135, 2.027027027027027, 2.0, 1.5585585585585586, 1.5675675675675675, 2.063063063063063, 1.2792792792792793, 1.2432432432432432, 1.3063063063063063]",[],"{""desc"": ""User graceslick77 is an engaged and active member of the online community, boasting a substantial friends count of 3,021 and 2,756 followers. With a background rooted in Episcopal traditions, they have been married to Al for 23 years and are proud parents to three children. Committed to social and political engagement, they have shown support for the Obama/Biden administration and actively encourage civic participation. Since coming out in 1996, they have shared their journey and thoughts on various societal issues, reflected in their 122,412 statuses and 90,129 favorites. Their enthusiasm for music, particularly"
2,27345589,Tony Siracusa,TonyBruin,"TonyBruin is a passionate sports enthusiast and a self-proclaimed know-it-all, actively writing about college football for @lastwordonsport. He is a dedicated husband and tennis dad, with a keen interest in politics. As an advocate for marine conservation, he supports organizations like Sea Shepherd and WWF. With a social media presence featuring 3069 statuses and 873 likes, TonyBruin engages with a community of 98 followers.",2009-03-29 00:42:57+0000,98,167,"['2264980638', '17072206']",[],[],[],"[1.4594594594594594, 1.2342342342342343, 1.4144144144144144, 1.2252252252252251, 1.3513513513513513, 1.3063063063063063, 0.4594594594594595, 0.36036036036036034, 0.35135135135135137, 0.36036036036036034, 0.3063063063063063, 0.5225225225225225, 1.0810810810810811, 1.4144144144144144, 1.5495495495495495, 2.135135135135135, 2.027027027027027, 2.0, 1.5585585585585586, 1.5675675675675675, 2.063063063063063, 1.2792792792792793, 1.2432432432432432, 1.3063063063063063]",[],"TonyBruin is a passionate sports enthusiast and a self-proclaimed know-it-all, actively writing about college football for @lastwordonsport. He is a dedicated husband and tennis dad, with a keen interest in politics. As an advocate for marine conservation, he supports organizations like Sea Shepherd and WWF. With a social media presence featuring 3069 statuses and 873 likes, TonyBruin engages with a community of 98 followers."
3,1560515610,Ladyjustmissedout,junehartman46,"June Hartman, a passionate advocate for individuals with intellectual disabilities, hails from Wollongong. With a keen interest in the American Civil War and current political landscapes in both the US and Australia, June actively engages with a community of 251 friends and 189 followers. Despite not having a verified account, June shares a wealth of thoughts and experiences, reflected in 3,495 statuses and 2,934 favorites. A lover of animals, June's diverse interests and advocacy work highlight a commitment to social issues.",2013-07-01 13:24:57+0000,189,251,['17072206'],[],[],[],"[1.4594594594594594, 1.2342342342342343, 1.4144144144144144, 1.2252252252252251, 1.3513513513513513, 1.3063063063063063, 0.4594594594594595, 0.36036036036036034, 0.35135135135135137, 0.36036036036036034, 0.3063063063063063, 0.5225225225225225, 1.0810810810810811, 1.4144144144144144, 1.5495495495495495, 2.135135135135135, 2.027027027027027, 2.0, 1.5585585585585586, 1.5675675675675675, 2.063063063063063, 1.2792792792792793, 1.2432432432432432, 1.3063063063063063]",[],"June Hartman, a passionate advocate for individuals with intellectual disabilities, hails from Wollongong. With a keen interest in the American Civil War and current political landscapes in both the US and Australia, June actively engages with a community of 251 friends and 189 followers. Despite not having a verified account, June shares a wealth of thoughts and experiences, reflected in 3,495 statuses and 2,934 favorites. A lover of animals, June's diverse interests and advocacy work highlight a commitment to social issues."
4,1001495072,~~Siren~~,cat_fates,"User 'cat_fates' is an Asatru practitioner from Cortland, NY, who identifies with green and far-left ideologies and is an ally to the LGBTQ+ community. With a bold statement, they suggest that there is more to know than what meets the eye, emphasizing a readiness to resolve conflicts once they arise. Their account is not verified, and they have a social media presence with 527 friends, 310 followers, and a total of 2,777 statuses, along with 1,103 favorites.",2012-12-10 11:42:07+0000,310,527,"['27391292', '20634939', '2264980638', '17072206']",[],[],[],"[1.4594594594594594, 1.2342342342342343, 1.4144144144144144, 1.2252252252252251, 1.3513513513513513, 1.3063063063063063, 0.4594594594594595, 0.36036036036036034, 0.35135135135135137, 0.36036036036036034, 0.3063063063063063, 0.5225225225225225, 1.0810810810810811, 1.4144144144144144, 1.5495495495495495, 2.135135135135135, 2.027027027027027, 2.0, 1.5585585585585586, 1.5675675675675675, 2.063063063063063, 1.2792792792792793, 1.2432432432432432, 1.3063063063063063]",[],"User 'cat_fates' is an Asatru practitioner from Cortland, NY, who identifies with green and far-left ideologies and is an ally to the LGBTQ+ community. With a bold statement, they suggest that there is more to know than what meets the eye, emphasizing a readiness to resolve conflicts once they arise. Their account is not verified, and they have a social media presence with 527 friends, 310 followers, and a total of 2,777 statuses, along with 1,103 favorites."
5,318088667,Michael ChenThompson,mchen4now,"User mchen4now from Cleveland, OH describes themselves as 'a sample of a soul made to look just like a human being.' Despite having an unverified account, they have a considerable social presence with 1,845 friends and 959 followers. They are quite active, having posted 11,162 statuses and favorited 496 tweets.",2011-06-15 23:21:12+0000,959,1845,"['308698101', '24716381', '17072206', '134249298', '28837388']",[],[],[],"[1.4594594594594594, 1.2342342342342343, 1.4144144144144144, 1.2252252252252251, 1.3513513513513513, 1.3063063063063063, 0.4594594594594595, 0.36036036036036034, 0.35135135135135137, 0.36036036036036034, 0.3063063063063063, 0.5225225225225225, 1.0810810810810811, 1.4144144144144144, 1.5495495495495495, 2.135135135135135, 2.027027027027027, 2.0, 1.5585585585585586, 1.5675675675675675, 2.063063063063063, 1.2792792792792793, 1.2432432432432432, 1.3063063063063063]",[],"User mchen4now from Cleveland, OH describes themselves as 'a sample of a soul made to look just like a human being.' Despite having an unverified account, they have a considerable social presence with 1,845 friends and 959 followers. They are quite active, having posted 11,162 statuses and favorited 496 tweets."
6,2269391174,JohannesD,JohannesDreijer,"JohannesDreijer is an active user from 't Zandt Groningen, known for a carefree attitude as reflected in their bio 'Who Cares!'. With a substantial following of 958 and a friends count of 1595, they engage frequently on the platform, boasting 40,480 statuses and 1,946 favorites. Their account is not verified and is marked with a 21+ warning.",2013-12-30 20:23:02+0000,958,1595,[],[],[],[],"[1.4594594594594594, 1.2342342342342343, 1.4144144144144144, 1.2252252252252251, 1.3513513513513513, 1.3063063063063063, 0.4594594594594595, 0.36036036036036034, 0.35135135135135137, 0.36036036036036034, 0.3063063063063063, 0.5225225225225225, 1.0810810810810811, 1.4144144144144144, 1.5495495495495495, 2.135135135135135, 2.027027027027027, 2.0, 1.5585585585585586, 1.5675675675675675, 2.063063063063063, 1.2792792792792793, 1.2432432432432432, 1.3063063063063063]",[],"JohannesDreijer is an active user from 't Zandt Groningen, known for a carefree attitude as reflected in their bio 'Who Cares!'. With a substantial following of 958 and a friends count of 1595, they engage frequently on the platform, boasting 40,480 statuses and 1,946 favorites. Their account is not verified and is marked with a 21+ warning."
7,2596618610,James Arcellana,The_Doctrinaire,"The_Doctrinaire is an opinionated and progressive blogger based in Oakland, CA. With 707 statuses and 290 favorites, they actively engage in discussions while remaining open to intelligent conversations. Although their account is not verified, they have built a network of 74 friends and 44 followers, reflecting their commitment to thoughtful dialogue.",2014-06-30 16:47:24+0000,44,74,['17072206'],[],[],[],"[1.4594594594594594, 1.2342342342342343, 1.4144144144144144, 1.2252252252252251, 1.3513513513513513, 1.3063063063063063, 0.4594594594594595, 0.36036036036036034, 0.35135135135135137, 0.36036036036036034, 0.3063063063063063, 0.5225225225225225, 1.0810810810810811, 1.4144144144144144, 1.5495495495495495, 2.135135135135135, 2.027027027027027, 2.0, 1.5585585585585586, 1.5675675675675675, 2.063063063063063, 1.2792792792792793, 1.2432432432432432, 1.3063063063063063]",[],"The_Doctrinaire is an opinionated and progressive blogger based in Oakland, CA. With 707 statuses and 290 favorites, they actively engage in discussions while remaining open to intelligent conversations. Although their account is not verified, they have built a network of 74 friends and 44 followers, reflecting their commitment to thoughtful dialogue."
8,164788787,MAW,themick1962,"User themick1962 is an unhyphenated American and a self-identified Goldwater Conservative, emphasizing a strong belief in liberty and justice. Based in San Diego, they engage actively on social media with a substantial following of 4,805 and a friends count of 2,324. With a total of 78,253 statuses and 412 favorites, their account reflects a robust presence in online discussions, particularly around conservative values and local interests, as indicated by their hashtags #FLHX, #Padres, and #Aztecs.",2010-07-09 19:21:56+0000,4805,2324,[],[],[],[],"[1.4594594594594594, 1.2342342342342343, 1.4144144144144144, 1.2252252252252251, 1.3513513513513513, 1.3063063063063063, 0.4594594594594595, 0.36036036036036034, 0.35135135135135137, 0.36036036036036034, 0.3063063063063063, 0.5225225225225225, 1.0810810810810811, 1.4144144144144144, 1.5495495495495495, 2.135135135135135, 2.027027027027027, 2.0, 1.5585585585585586, 1.5675675675675675, 2.063063063063063, 1.2792792792792793, 1.2432432432432432, 1.3063063063063063]",[],"User themick1962 is an unhyphenated American and a self-identified Goldwater Conservative, emphasizing a strong belief in liberty and justice. Based in San Diego, they engage actively on social media with a substantial following of 4,805 and a friends count of 2,324. With a total of 78,253 statuses and 412 favorites, their account reflects a robust presence in online discussions, particularly around conservative values and local interests, as indicated by their hashtags #FLHX, #Padres, and #Aztecs."
9,167581897,Inez M Campbell,inezmcampbell,"Inez McCampbell is a proud Boricua and American, hailing from Philadelphia, PA. As a retired Army officer and dedicated educator, she embodies a progressive mindset and a strong sense of patriotism. With a significant social media presence, she engages actively with her 404 followers, sharing her thoughts and experiences through nearly 25,000 statuses. Inez values her connections, having 183 friends, and expresses her opinions boldly, encouraging others to reflect on their own contributions to the country.",2010-07-16 23:41:58+0000,404,183,['17072206'],[],[],[],"[1.4594594594594594, 1.2342342342342343, 1.4144144144144144, 1.2252252252252251, 1.3513513513513513, 1.3063063063063063, 0.4594594594594595, 0.36036036036036034, 0.35135135135135137, 0.36036036036036034, 0.3063063063063063, 0.5225225225225225, 1.0810810810810811, 1.4144144144144144, 1.5495495495495495, 2.135135135135135, 2.027027027027027, 2.0, 1.5585585585585586, 1.5675675675675675, 2.063063063063063, 1.2792792792792793, 1.2432432432432432, 1.3063063063063063]",[],"Inez McCampbell is a proud Boricua and American, hailing from Philadelphia, PA. As a retired Army officer and dedicated educator, she embodies a progressive mindset and a strong sense of patriotism. With a significant social media presence, she engages actively with her 404 followers, sharing her thoughts and experiences through nearly 25,000 statuses. Inez values her connections, having 183 friends, and expresses her opinions boldly, encouraging others to reflect on their own contributions to the country."
