,user_id,name,username,description,created_at,followers_count,following_count,following_list,following_agentid_list,previous_tweets,tweets_id,activity_level_frequency,activity_level,user_char
0,243318995,*Russian Market,russian_market,"User 'russian_market' is based in Zurich, Switzerland, and has a significant online presence with 136,179 followers and 388 friends. They are active on the platform, having posted 74,770 statuses and favorited 587 tweets. The account is not verified, and they have a VK profile linked for further engagement.",2011-01-26 19:56:43+0000,136179,388,"['24195377', '1015241814', '22781017', '60741791']",[],['Hoppla! @L0gg0l: Swiss Rumors: Putin absence due to girlfriend Alina giving birth in Ticino http://t.co/vZnGDH1Qys http://t.co/5TvXSdvd1H'],[],"[1.4594594594594594, 1.2342342342342343, 1.4144144144144144, 1.2252252252252251, 1.3513513513513513, 1.3063063063063063, 0.4594594594594595, 0.36036036036036034, 0.35135135135135137, 0.36036036036036034, 0.3063063063063063, 0.5225225225225225, 1.0810810810810811, 1.4144144144144144, 1.5495495495495495, 2.135135135135135, 2.027027027027027, 2.0, 1.5585585585585586, 1.5675675675675675, 2.063063063063063, 1.2792792792792793, 1.2432432432432432, 1.3063063063063063]",[],"User 'russian_market' is based in Zurich, Switzerland, and has a significant online presence with 136,179 followers and 388 friends. They are active on the platform, having posted 74,770 statuses and favorited 587 tweets. The account is not verified, and they have a VK profile linked for further engagement."
1,375178685,jose A. jauregui,spinola71,"User spinola71 is an active individual on social media with a substantial presence, boasting 50089 statuses and a considerable number of favorites (10839). They have a network of 1894 friends and 1283 followers. Despite their engagement and popularity, their account is not verified.",2011-09-17 17:01:48+0000,1283,1894,['243318995'],[],[],[],"[1.4594594594594594, 1.2342342342342343, 1.4144144144144144, 1.2252252252252251, 1.3513513513513513, 1.3063063063063063, 0.4594594594594595, 0.36036036036036034, 0.35135135135135137, 0.36036036036036034, 0.3063063063063063, 0.5225225225225225, 1.0810810810810811, 1.4144144144144144, 1.5495495495495495, 2.135135135135135, 2.027027027027027, 2.0, 1.5585585585585586, 1.5675675675675675, 2.063063063063063, 1.2792792792792793, 1.2432432432432432, 1.3063063063063063]",[],"User spinola71 is an active individual on social media with a substantial presence, boasting 50089 statuses and a considerable number of favorites (10839). They have a network of 1894 friends and 1283 followers. Despite their engagement and popularity, their account is not verified."
2,229022520,CasaVale,Valevegas,"Valevegas is an active user with a total of 601 posts and 243 favorites. Although their account is not verified, they have a network of 116 friends and 14 followers. The lack of location information suggests they may prefer to keep their personal details private.",2010-12-21 09:19:54+0000,14,116,['243318995'],[],[],[],"[1.4594594594594594, 1.2342342342342343, 1.4144144144144144, 1.2252252252252251, 1.3513513513513513, 1.3063063063063063, 0.4594594594594595, 0.36036036036036034, 0.35135135135135137, 0.36036036036036034, 0.3063063063063063, 0.5225225225225225, 1.0810810810810811, 1.4144144144144144, 1.5495495495495495, 2.135135135135135, 2.027027027027027, 2.0, 1.5585585585585586, 1.5675675675675675, 2.063063063063063, 1.2792792792792793, 1.2432432432432432, 1.3063063063063063]",[],"Valevegas is an active user with a total of 601 posts and 243 favorites. Although their account is not verified, they have a network of 116 friends and 14 followers. The lack of location information suggests they may prefer to keep their personal details private."
3,2875761863,Ed Ward MD,EdWardMDBlog,"EdWardMDBlog is an active user with a substantial presence on social media, having posted 27,823 updates and garnered 361 followers. Despite not being account verified, they are connected with 288 friends and have favorited 2,261 posts. The user has not provided a location.",2014-11-13 22:47:38+0000,361,288,[],[],[],[],"[1.4594594594594594, 1.2342342342342343, 1.4144144144144144, 1.2252252252252251, 1.3513513513513513, 1.3063063063063063, 0.4594594594594595, 0.36036036036036034, 0.35135135135135137, 0.36036036036036034, 0.3063063063063063, 0.5225225225225225, 1.0810810810810811, 1.4144144144144144, 1.5495495495495495, 2.135135135135135, 2.027027027027027, 2.0, 1.5585585585585586, 1.5675675675675675, 2.063063063063063, 1.2792792792792793, 1.2432432432432432, 1.3063063063063063]",[],"EdWardMDBlog is an active user with a substantial presence on social media, having posted 27,823 updates and garnered 361 followers. Despite not being account verified, they are connected with 288 friends and have favorited 2,261 posts. The user has not provided a location."
4,775378315,shadow of Hamlet's ,kromwelll,"Kromwelll is an active user with a keen interest in analyzing the psychological effects of communism. Based in 'ватник кэпитал', they have a substantial following of 1,234 and a large network of 1,696 friends. With a total of 18,757 statuses and 1,235 favorites, Kromwelll engages frequently on the platform, although their account is not verified.",2012-08-23 07:08:02+0000,1234,1696,"['391202845', '2838971849']",[],[],[],"[1.4594594594594594, 1.2342342342342343, 1.4144144144144144, 1.2252252252252251, 1.3513513513513513, 1.3063063063063063, 0.4594594594594595, 0.36036036036036034, 0.35135135135135137, 0.36036036036036034, 0.3063063063063063, 0.5225225225225225, 1.0810810810810811, 1.4144144144144144, 1.5495495495495495, 2.135135135135135, 2.027027027027027, 2.0, 1.5585585585585586, 1.5675675675675675, 2.063063063063063, 1.2792792792792793, 1.2432432432432432, 1.3063063063063063]",[],"Kromwelll is an active user with a keen interest in analyzing the psychological effects of communism. Based in 'ватник кэпитал', they have a substantial following of 1,234 and a large network of 1,696 friends. With a total of 18,757 statuses and 1,235 favorites, Kromwelll engages frequently on the platform, although their account is not verified."
5,47694125,atm,DaRRuma,"DaRRuma is an active user with a significant presence, having posted 3,693 statuses and favorited 1,447 tweets. While their account is not verified, they have a network of 102 friends and 55 followers, indicating a social engagement on the platform.",2009-06-16 18:05:28+0000,55,102,['243318995'],[],[],[],"[1.4594594594594594, 1.2342342342342343, 1.4144144144144144, 1.2252252252252251, 1.3513513513513513, 1.3063063063063063, 0.4594594594594595, 0.36036036036036034, 0.35135135135135137, 0.36036036036036034, 0.3063063063063063, 0.5225225225225225, 1.0810810810810811, 1.4144144144144144, 1.5495495495495495, 2.135135135135135, 2.027027027027027, 2.0, 1.5585585585585586, 1.5675675675675675, 2.063063063063063, 1.2792792792792793, 1.2432432432432432, 1.3063063063063063]",[],"DaRRuma is an active user with a significant presence, having posted 3,693 statuses and favorited 1,447 tweets. While their account is not verified, they have a network of 102 friends and 55 followers, indicating a social engagement on the platform."
6,567575673,Nico DAgris,NicoDAgris,"NicoDAgris is a passionate SciFi author and screenwriter known for 'In the Eye of the Sphinx.' Based in Arizona, he has a rich background as a retired Signal and Intelligence Army officer and a network engineer. A graduate of the Command & General Staff College, NicoDAgris engages actively on social media, with 14,300 statuses shared and a following of 943. Despite his substantial presence, his account is currently not verified.",2012-04-30 19:44:10+0000,943,779,"['17801749', '890674015']",[],[],[],"[1.4594594594594594, 1.2342342342342343, 1.4144144144144144, 1.2252252252252251, 1.3513513513513513, 1.3063063063063063, 0.4594594594594595, 0.36036036036036034, 0.35135135135135137, 0.36036036036036034, 0.3063063063063063, 0.5225225225225225, 1.0810810810810811, 1.4144144144144144, 1.5495495495495495, 2.135135135135135, 2.027027027027027, 2.0, 1.5585585585585586, 1.5675675675675675, 2.063063063063063, 1.2792792792792793, 1.2432432432432432, 1.3063063063063063]",[],"NicoDAgris is a passionate SciFi author and screenwriter known for 'In the Eye of the Sphinx.' Based in Arizona, he has a rich background as a retired Signal and Intelligence Army officer and a network engineer. A graduate of the Command & General Staff College, NicoDAgris engages actively on social media, with 14,300 statuses shared and a following of 943. Despite his substantial presence, his account is currently not verified."
7,2939483921,Елена Минькова,elmin51997129,"User elmin51997129 is an active individual with a total of 550 statuses and 9 favorites. They have a network of 137 friends but only 31 followers, indicating a more engaged friend circle. Their account is not verified, and no specific location is provided.",2014-12-24 13:06:58+0000,31,137,['243318995'],[],[],[],"[1.4594594594594594, 1.2342342342342343, 1.4144144144144144, 1.2252252252252251, 1.3513513513513513, 1.3063063063063063, 0.4594594594594595, 0.36036036036036034, 0.35135135135135137, 0.36036036036036034, 0.3063063063063063, 0.5225225225225225, 1.0810810810810811, 1.4144144144144144, 1.5495495495495495, 2.135135135135135, 2.027027027027027, 2.0, 1.5585585585585586, 1.5675675675675675, 2.063063063063063, 1.2792792792792793, 1.2432432432432432, 1.3063063063063063]",[],"User elmin51997129 is an active individual with a total of 550 statuses and 9 favorites. They have a network of 137 friends but only 31 followers, indicating a more engaged friend circle. Their account is not verified, and no specific location is provided."
8,1946971338,worrie nie,worrienie,"Worrienie is a passionate traveler who values honesty and transparency, expressing skepticism towards major political entities like the EU, USA, UK, and Ukraine, as well as mainstream media. With a strong affinity for Scotland, Russia, Donbass, and South Africa, Worrienie believes in the power of truth. The account is not verified and has a social presence with 458 friends and 144 followers, having shared 7,666 statuses and favorited 36 posts.",2013-10-08 14:05:35+0000,144,458,"['261109532', '243318995']",[],[],[],"[1.4594594594594594, 1.2342342342342343, 1.4144144144144144, 1.2252252252252251, 1.3513513513513513, 1.3063063063063063, 0.4594594594594595, 0.36036036036036034, 0.35135135135135137, 0.36036036036036034, 0.3063063063063063, 0.5225225225225225, 1.0810810810810811, 1.4144144144144144, 1.5495495495495495, 2.135135135135135, 2.027027027027027, 2.0, 1.5585585585585586, 1.5675675675675675, 2.063063063063063, 1.2792792792792793, 1.2432432432432432, 1.3063063063063063]",[],"Worrienie is a passionate traveler who values honesty and transparency, expressing skepticism towards major political entities like the EU, USA, UK, and Ukraine, as well as mainstream media. With a strong affinity for Scotland, Russia, Donbass, and South Africa, Worrienie believes in the power of truth. The account is not verified and has a social presence with 458 friends and 144 followers, having shared 7,666 statuses and favorited 36 posts."
9,2455300670,Machinist Gitju,machinist_gitju,"Machinist_gitju is a passionate Crypto Anarchist and machinist, who also serves as a core developer for Machinecoin. A vegetarian with a keen interest in cosmology, they express their personal views and engage actively in online discussions, boasting over 30,000 statuses and nearly 1,800 followers. While their account is not verified, they maintain a vibrant community of 1,650 friends.",2014-04-20 17:06:12+0000,1731,1650,[],[],[],[],"[1.4594594594594594, 1.2342342342342343, 1.4144144144144144, 1.2252252252252251, 1.3513513513513513, 1.3063063063063063, 0.4594594594594595, 0.36036036036036034, 0.35135135135135137, 0.36036036036036034, 0.3063063063063063, 0.5225225225225225, 1.0810810810810811, 1.4144144144144144, 1.5495495495495495, 2.135135135135135, 2.027027027027027, 2.0, 1.5585585585585586, 1.5675675675675675, 2.063063063063063, 1.2792792792792793, 1.2432432432432432, 1.3063063063063063]",[],"Machinist_gitju is a passionate Crypto Anarchist and machinist, who also serves as a core developer for Machinecoin. A vegetarian with a keen interest in cosmology, they express their personal views and engage actively in online discussions, boasting over 30,000 statuses and nearly 1,800 followers. While their account is not verified, they maintain a vibrant community of 1,650 friends."
